City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Bredasdorp,ZA,1603033142,-34.53,20.04,69.8,52,59,13.87
Kiryat Gat,IL,1603033145,31.61,34.76,82.4,58,0,10.29
Albany,US,1603032871,42.6,-73.97,50.0,75,75,9.33
Punta Arenas,CL,1603033151,-53.15,-70.92,44.6,75,40,26.4
Ekhabi,RU,1603033155,53.51,142.97,35.28,93,96,23.58
Rikitea,PF,1603033158,-23.12,-134.97,74.57,79,58,22.03
Kavaratti,IN,1603033161,10.57,72.64,81.61,77,1,10.25
Butaritari,KI,1603033164,3.07,172.79,81.3,75,76,18.41
Dubbo,AU,1603033167,-32.25,148.62,50.0,81,0,3.36
Hermanus,ZA,1603033170,-34.42,19.23,68.0,61,41,5.01
Saint-Philippe,RE,1603033173,-21.36,55.77,77.0,73,40,14.99
Korla,CN,1603033076,41.76,86.15,54.0,67,0,3.0
Iranshahr,IR,1603033179,27.2,60.68,84.2,5,0,6.93
Ejea de los Caballeros,ES,1603033182,42.13,-1.14,66.2,37,100,3.36
Ushuaia,AR,1603033185,-54.8,-68.3,44.6,75,75,28.86
Mēga,ET,1603033189,4.05,38.3,68.13,61,34,9.62
Cabo San Lucas,MX,1603032911,22.89,-109.91,81.0,73,5,5.82
Barrow,US,1603033195,71.29,-156.79,19.4,79,1,12.75
Homer,US,1603032941,59.64,-151.55,42.01,86,90,6.38
Kathu,TH,1603033201,7.92,98.33,82.99,94,20,9.66
Mataura,NZ,1603033204,-46.19,168.86,48.99,84,100,1.99
Lebu,CL,1603033208,-37.62,-73.65,54.73,64,0,5.82
Ilulissat,GL,1603033211,69.22,-51.1,35.96,81,100,9.62
Cape Town,ZA,1603033139,-33.93,18.42,69.01,49,20,13.87
Dunmore Town,BS,1603033218,25.5,-76.65,82.24,77,100,16.42
Balad,IQ,1603033221,34.02,44.15,77.59,18,0,5.88
Saskylakh,RU,1603033224,71.92,114.08,18.25,97,95,4.21
Puerto Ayora,EC,1603033228,-0.74,-90.35,69.01,95,100,8.01
Airai,TL,1603033231,-8.93,125.41,61.83,94,48,1.52
Neyshabur,IR,1603033235,36.21,58.8,59.16,24,0,4.99
Tuktoyaktuk,CA,1603033238,69.45,-133.04,12.2,92,5,3.36
Lábrea,BR,1603033179,-7.26,-64.8,84.7,62,98,1.9
Vanimo,PG,1603033245,-2.67,141.3,78.75,84,100,4.0
Atuona,PF,1603033248,-9.8,-139.03,77.45,78,29,19.91
Castro,BR,1603033230,-24.79,-50.01,70.09,67,99,6.33
Iqaluit,CA,1603033254,63.75,-68.51,33.8,86,90,14.99
Severo-Yeniseyskiy,RU,1603033258,60.37,93.04,24.96,95,99,15.68
Tiksi,RU,1603033261,71.69,128.87,19.17,95,100,17.98
El Salvador,SV,1603033220,13.83,-88.92,84.2,94,92,5.82
Chokurdakh,RU,1603033267,70.63,147.92,19.81,98,94,7.9
Port Elizabeth,ZA,1603033270,-33.92,25.57,66.2,68,44,19.46
Bandarbeyla,SO,1603033273,9.49,50.81,80.98,77,0,9.64
Mahébourg,MU,1603033207,-20.41,57.7,77.0,65,40,9.17
Verkhnyaya Inta,RU,1603033279,65.98,60.31,29.48,97,100,14.05
East London,ZA,1603033282,-33.02,27.91,66.2,72,36,18.34
‘Ewa Beach,US,1603033285,21.32,-158.01,77.0,88,1,6.35
Havøysund,NO,1603033289,71.0,24.66,32.0,75,75,3.36
Port Alfred,ZA,1603033252,-33.59,26.89,66.58,69,79,18.19
Busselton,AU,1603033295,-33.65,115.33,64.99,48,0,12.82
Vaini,TO,1603033298,-21.2,-175.2,68.0,94,40,9.17
Kencong,ID,1603033301,-8.28,113.37,76.73,91,62,1.74
Auki,SB,1603033305,-8.77,160.7,78.6,81,88,3.94
Verāval,IN,1603033308,20.9,70.37,82.89,83,6,6.42
Berlevåg,NO,1603033311,70.86,29.09,37.35,78,30,6.13
Felipe Carrillo Puerto,MX,1603033314,19.58,-88.05,82.4,80,37,3.49
Schwieberdingen,DE,1603033317,48.88,9.07,48.99,70,75,1.12
Batticaloa,LK,1603033320,7.71,81.69,80.58,81,100,7.0
Morgantown,US,1603033024,39.63,-79.96,51.8,50,1,6.91
Chui,UY,1603033326,-33.7,-53.46,75.09,56,0,6.67
Nová Včelnice,CZ,1603033329,49.24,15.07,46.99,69,75,1.99
Moroto,UG,1603033332,2.53,34.67,75.24,58,72,7.27
Honningsvåg,NO,1603033336,70.98,25.97,41.14,70,97,13.51
Alofi,NU,1603033339,-19.06,-169.92,77.0,94,78,8.05
Władysławowo,PL,1603033342,54.79,18.4,48.0,65,65,16.11
Leningradskiy,RU,1603033345,69.38,178.42,21.63,87,0,6.98
Egvekinot,RU,1603033348,66.32,-179.17,24.64,89,100,7.36
Namatanai,PG,1603033207,-3.67,152.43,80.08,79,100,6.42
Shimokizukuri,JP,1603033354,40.81,140.39,54.0,93,94,5.99
Jamestown,US,1603033357,42.1,-79.24,51.01,52,1,10.29
Puerto Carreño,CO,1603033206,6.19,-67.49,86.14,70,43,0.31
Hithadhoo,MV,1603033363,-0.6,73.08,83.82,77,100,17.09
Port-Cartier,CA,1603033367,50.03,-66.87,45.0,70,20,11.41
Alyangula,AU,1603033370,-13.85,136.42,73.4,94,100,10.42
Pandan,PH,1603033373,14.05,124.17,81.52,85,81,11.5
Ponta do Sol,PT,1603033376,32.67,-17.1,71.6,88,75,24.16
Lac du Bonnet,CA,1603033379,50.25,-96.06,28.99,98,85,5.99
Avarua,CK,1603033382,-21.21,-159.78,71.6,83,75,5.82
Yellowknife,CA,1603033210,62.46,-114.35,24.8,85,90,6.93
Quatre Cocos,MU,1603033388,-20.21,57.76,77.0,65,40,9.17
Nhulunbuy,AU,1603033392,-12.23,136.77,75.2,83,40,3.36
Northam,GB,1603033395,51.03,-4.22,57.99,76,83,1.99
Kerkini,GR,1603033398,41.22,23.08,68.0,35,87,7.0
Lola,GN,1603033401,7.8,-8.53,85.1,59,98,4.9
Porto-Novo,BJ,1603033404,6.5,2.6,86.0,74,40,12.75
Bayeux,BR,1603033407,-7.12,-34.93,87.8,52,75,14.99
Bluff,NZ,1603033327,-46.6,168.33,48.99,84,100,1.99
Nome,US,1603033413,64.5,-165.41,39.2,86,40,11.41
Carnarvon,AU,1603033296,-24.87,113.63,69.8,83,90,18.34
Enshi,CN,1603033420,30.3,109.48,55.71,82,77,0.47
Uray,RU,1603033423,60.12,64.78,31.91,93,67,8.39
Dingle,PH,1603033426,11.0,122.67,76.73,90,100,5.57
Nikolskoye,RU,1603033429,59.7,30.79,36.0,93,90,6.71
Hayden,US,1603033432,47.77,-116.79,41.0,93,90,4.7
Humberto de Campos,BR,1603033435,-2.6,-43.46,93.54,40,87,10.22
Talnakh,RU,1603033438,69.49,88.4,19.4,92,75,15.66
Arraial do Cabo,BR,1603033441,-22.97,-42.03,77.0,61,40,12.75
Karratha,AU,1603033444,-20.74,116.85,69.78,80,0,13.73
Belyy Yar,RU,1603033447,53.6,91.39,48.2,57,40,13.42
Amazar,RU,1603033450,53.86,120.88,25.65,88,23,2.89
Kapaa,US,1603033453,22.08,-159.32,73.4,94,90,3.36
Narsaq,GL,1603033457,60.92,-46.05,39.2,85,38,3.36
Soyo,AO,1603033460,-6.13,12.37,82.4,78,40,11.41
Kutum,SD,1603033463,14.2,24.67,89.35,12,0,13.67
Melo,UY,1603033466,-32.37,-54.18,78.24,57,0,6.04
Lakatoro,VU,1603033469,-16.1,167.42,75.56,81,35,9.73
Te Anau,NZ,1603033472,-45.42,167.72,44.73,89,100,0.76
San Quintín,MX,1603033475,30.48,-115.95,73.51,63,43,8.03
Griffith,US,1603033310,41.53,-87.42,54.0,54,90,6.93
Ribeira Grande,PT,1603033438,38.52,-28.7,66.2,48,20,14.99
Mandalgovi,MN,1603033485,45.76,106.27,39.97,55,6,8.41
Kaitangata,NZ,1603033488,-46.28,169.85,48.99,90,100,2.77
Songjianghe,CN,1603033491,42.19,127.48,33.19,88,0,4.16
Khatanga,RU,1603033373,71.97,102.5,7.77,86,1,8.08
Benalla,AU,1603033497,-36.55,145.98,46.4,87,31,6.93
Port Moresby,PG,1603033500,-9.44,147.18,78.8,94,40,8.05
Noumea,NC,1603033504,-22.28,166.46,64.4,68,0,8.05
Ørje,NO,1603033507,59.48,11.66,48.99,62,0,7.07
Cidreira,BR,1603033510,-30.18,-50.21,71.19,68,91,15.93
Meulaboh,ID,1603033513,4.14,96.13,78.55,80,100,2.8
Bambous Virieux,MU,1603033516,-20.34,57.76,77.0,65,40,9.17
Esperance,AU,1603033519,-33.87,121.9,55.4,82,91,10.29
Provideniya,RU,1603033522,64.38,-173.3,33.89,91,72,4.56
Cayenne,GF,1603033525,4.93,-52.33,91.4,52,20,6.93
Tigil',RU,1603033529,57.8,158.67,35.69,84,100,9.53
Atar,MR,1603033330,20.52,-13.05,99.09,16,0,7.54
Lüderitz,NA,1603033535,-26.65,15.16,72.59,43,0,25.48
Hofn,IS,1603033538,64.25,-15.21,42.8,87,90,2.24
Sept-Îles,CA,1603033362,50.2,-66.38,45.0,70,20,11.41
Obo,CF,1603033544,5.4,26.49,77.54,84,35,3.13
